speciesname,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction
Acacia blakelyi,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia blayana,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia boormanii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia botrydion,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia brachystachya,,,,,,,tree,,,,perennial > 20 years,,woody,,,,long dormancy,,,
Acacia brassii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia browniana,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia brumalis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia brunioides,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia bulgaensis,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia burbidgeae,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia burkittii,,,,,,,tree / shrub,,,,perennial,,woody,,,,,,,
Acacia burrowii,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia buxifolia,,,,,,,tree,,,,,,woody,,,,,,,
Acacia caerulescens,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia caesariata,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia caesiella,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia calamifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia calcicola,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia cambagei,,,,,,,tree,,,,perennial > 20 years,,woody,,,,all seed immediately viable,,,
Acacia campylophylla,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia cangaiensis,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia cardiophylla,,,,,,,tree,,,,,,W,,,,,,,
Acacia carens,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia caroleae,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia catenulata,,,,,,,tree,,,,,,woody,,,,,,,
Acacia cedroides,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia celastrifolia,,,,,,,shrub/woody,,,,,,W,,,,,,,
Acacia celsa,,,,,,,tree,,,,,,woody,,,,,,,
Acacia cerastes,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia chalkeri,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia chapmanii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia cheelii,,,,,,,tree,,,,,,woody,,,,,,,
Acacia chisholmii,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia chrysotricha,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia cincinnata,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia citrinoviridis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia clandullensis,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia clydonophora,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia cognata,,,,,,,tree / shrub,,,,perennial,,W,,,,,,,
Acacia colei,,,,,,,tree,,,,perennial,,W,,,,,,,
Acacia complanata,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia concurrens,,,,,,,tree,,,,,,W,,,,,,,
Acacia conferta,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia confusa,,,,,,,tree,,,,perennial,,W,,,,,,,
Acacia congesta,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia constablei,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia continua,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia coolgardiensis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia coriacea,,,,,,,tree,,,,,,woody,,,,,,,
Acacia costiniana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia courtii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia cowleana,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia craspedocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia crassa,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia crassicarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia crassiuscula,,,,,,,tree,,,,,,woody,,,,,,,
Acacia cremiflora,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia crenulata,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia cretacea,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia cuneifolia,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia cupularis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia curranii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia cyperophylla,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia dallachiana,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia dawsonii,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia dealbata,,,,,,,tree / shrub,,,,120.0,,woody,,,,,,,2
Acacia deanei,,,,,,,tree,,,,,,woody,,,,,,,
Acacia decurrens,,,,,,,tree,,,,50.0,,W,,,,,,,
Acacia deficiens,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia desmondii,,,,,,,tree,,,,,,woody,,,,,,,
Acacia dictyoneura,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia dictyophleba,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia difficilis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia difformis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia dimidiata,,,,,,,tree,,,,,,W,,,,,,,
Acacia disparrima,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia disticha,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia dodonaeifolia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia drepanophylla,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia drummondii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia dunnii,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia durabilis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia duriuscula,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia echinula,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia effusa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia elachantha,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia elata,,,,,,,tree / shrub,,,,50.0,,woody,,,,,,,
Acacia empelioclada,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia enterocarpa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia eremophila,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia erinacea,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia eriopoda,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia errabunda,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia estrophiolata,,,,,,,tree,,,,,,woody,,,,,,,
Acacia euthycarpa,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia excelsa,,,,,,,tree,,,,perennial > 20 years,,woody,,,,long dormancy,,,
Acacia extensa,,,,,,,tree,,,,,,woody,,,,,,,
Acacia falciformis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia farinosa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia fasciculifera,,,,,,,tree,,,,,,W,,,,,,,
Acacia filicifolia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia filifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia fimbriata,,,,,,,tree,,,,,,W,,,,,,,
Acacia flabellifolia,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia flavescens,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia flexifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia flocktoniae,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia floribunda,,,,,,,tree,,,,60.0,,woody,,,,,,,
Acacia floydii,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia fragilis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia frigescens,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia fulva,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia galeata,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia georgensis,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia georginae,,,,,,,tree,,,,,,woody,,,,,,,
Acacia gillii,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia gladiiformis,,,,,,,tree,,,,,,woody,,,,,,,
Acacia glandulicarpa,,,,,,,tree,,,,,,woody,,,,,,,
Acacia glaucissima,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia glaucocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia gnidium,,,,,,,tree,,,,,,woody,,,,,,,
Acacia gonoclada,,,,,,,shrub/woody,,,,,,W,,,,,,,
Acacia gordonii,,,,,,,tree,,,,,,woody,,,,,,,
Acacia gracilifolia,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia granitica,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia grasbyi,,,,,,,tree/woody,,,,,,W,,,,,,,diffuse
Acacia grisea,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia gunnii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia hamersleyensis,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia hamiltoniana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia hammondii,,,,,,,shrub/woody,,,,,,W,,,,,,,
Acacia harpophylla,,,,,,,tree,,,,,,W,,,,,,,
Acacia harveyi,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia hemignosta,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia hemiteles,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia hemsleyi,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia heterochroa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia heteroclita,,,,,,,tree,,,,,,W,,,,,,,
Acacia heterophylla,,,,,,,woody,,,,,,woody,,,,,,,
Acacia hilliana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia hispidula,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia holosericea,,,,,,,tree,,,,long lived perennial >= 50 yrs.,,W,,,,,,,
Acacia howittii,,,,,,,tree,,,,perennial,,W,,,,,,,
Acacia hubbardiana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia humifusa,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia hyaloneura,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia imbricata,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia implexa,,,,,,,tree / shrub,,,,50.0,,W,,,,,,,
Acacia inaequilatera,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia incanicarpa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia inceana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia ingramii,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia inophloia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia insolita,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia irrorata,,,,,,,tree / shrub,,,,perennial,,woody,,,,,,,
Acacia iteaphylla,,,,,,,tree,,,,,,woody,,,,,,,
Acacia ixiophylla,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia jennerae,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia jonesii,,,,,,,tree / shrub,,,,perennial,,woody,,,,,,,
Acacia jucunda,,,,,,,shrub/woody,,,,,,W,,,,,,,
Acacia julifera,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia juncifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia kempeana,,,,,,,tree,,,,,,woody,,,,,,,
Acacia kettlewelliae,,,,,,,tree,,,,,,W,,,,,,,
Acacia koa,,,,,,,tree,,,,perennial,,W,,,,,,,
Acacia kybeanensis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia kydrensis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia laccata,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia lachnophylla,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia lamprocarpa,,,,,,,tree,,,,,,woody,,,,,,,
Acacia lanigera,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia lasiocalyx,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia lasiocarpa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia lateriticola,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia latescens,,,,,,,tree/woody,,,,,,W,,,,,,,diffuse
Acacia latifolia,,,,,,,"tree, shrub",,,,,,W,,,,,,,
Acacia latipes,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia latisepala,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia latzii,,,,,,,tree,,,,,,woody,,,,,,,
Acacia legnota,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia leiocalyx,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia leiophylla,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia leprosa,,,,,,,tree,,,,,,woody,,,,,,,
Acacia leptocarpa,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia leptoclada,,,,,,,tree,,,,,,woody,,,,,,,
Acacia leptopetala,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia leptospermoides,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia leptostachya,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia leucoclada,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia leucolobia,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia ligulata,,,,,,,tree / shrub,,,,perennial < 20 years,,woody,,,,long dormancy,,,
Acacia ligustrina,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia lineolata,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia lirellata,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia loderi,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia longispicata,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia longispinea,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia lucasii,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia lunata,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia lysiphloia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia mabellae,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia macnuttiana,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia maconochieana,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia macradenia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia maidenii,,,,,,,tree,,,,perennial,,W,,,,,,,
Acacia mangium,,,,,,,tree,,,,Perennial,,W,,,,,,,
Acacia matthewii,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia mearnsii,,,,,,,tree / shrub,,,False,50.0,,Woody,,,,,,,
Acacia megacephala,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia meiantha,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia meisneri,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia melanoxylon,,,,,,,tree / shrub,,,False,200.0,,woody,,,,,,,
Acacia melleodora,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia melvillei,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia menzelii,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia merrallii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia merrickiae,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia microbotrya,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia microcarpa,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia mimula,,,,,,,tree,,,,,,W,,,,,,,
Acacia mitchellii,,,,,,,tree/woody,,,,25.0,,woody,,,,,,,
Acacia mollifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia montana,,,,,,,tree,,,,,,W,,,,,,,
Acacia monticola,,,,,,,tree,,,,,,woody,,,,,,,
Acacia mucronata,,,,,,,tree,,,,50.0,,W,,,,,,,
Acacia multispicata,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia murrayana,,,,,,,tree,,,,,,woody,,,,,,,
Acacia mutabilis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia nanodealbata,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia nematophylla,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia neriifolia,,,,,,,tree,,,,perennial,,W,,,,,,,
Acacia nervosa,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia neurocarpa,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia neurophylla,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia nigripilosa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia nodiflora,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia notabilis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia obliquinervia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia obtusata,,,,,,,tree,,,,,,woody,,,,,,,
Acacia olgana,,,,,,,tree,,,,,,W,,,,,,,
Acacia olsenii,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia omalophylla,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia ophiolithica,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia oraria,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia orites,,,,,,,tree,,,,,,woody,,,,,,,
Acacia oshanesii,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia pachycarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia papulosa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia papyrocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia parvipinnula,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia pedina,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia pellita,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia pendula,,,,,,,tree/woody,,,,perennial,,W,,,,,,,
Acacia penninervis,,,,,,,tree,,,,,,woody,,,,,,,
Acacia pentadenia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia peuce,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia phaeocalyx,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia phasmoides,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia phlebocarpa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia piligera,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia pilligaensis,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia pinguiculosa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia pinguifolia,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia platycarpa,,,,,,,tree,,,,,,woody,,,,,,,
Acacia plectocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia plicata,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia polybotrya,,,,,,,tree,,,,,,woody,,,,,,,
Acacia polystachya,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia pravifolia,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia pravissima,,,,,,,tree,,,,perennial,,W,,,,,,,
Acacia prominens,,,,,,,tree,,,,,,W,,,,,,,
Acacia provincialis,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia pruinosa,,,,,,,tree,,,,,,W,,,,,,,
Acacia ptychoclada,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia pubescens,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia pubifolia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia pusilla,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia pustula,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia pycnantha,,,,,,,tree,,,False,40.0,,woody,,,,,,,
Acacia pycnostachya,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia pyrifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia quadrilateralis,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia quadrimarginea,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia quornensis,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia racospermoides,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia repanda,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia resinimarginea,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia retinodes,,,,,,,tree shrub intermediate,,,False,,,W,,,,,,,
Acacia retivenea,,,,,,,shrub/woody,,,,,,W,,,,,,,
Acacia rhetinocarpa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia rhigiophylla,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia rhodophloia,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia rhodoxylon,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia riceana,,,,,,,tree,,,,,,W,,,,,,,
Acacia richii,,,,,,,tree,,,,,,W,,,,,,,
Acacia rossei,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia rostellifera,,,,,,,tree,,,,,,woody,,,,,,,
Acacia rothii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia rubida,,,,,,,tree,,,,,,W,,,,,,,
Acacia rupicola,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia ruppii,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia saliciformis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia salicina,,,,,,,tree,,,,,,woody,,,,,,,
Acacia schinoides,,,,,,,tree,,,,,,W,,,,,,,
Acacia scirpifolia,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia sclerophylla,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia sclerosperma,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia semirigida,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia sertiformis,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia shirleyi,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia sibilans,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia sibirica,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia siculiformis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia silvestris,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia simmonsiana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia simsii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia spectabilis,,,,,,,tree,,,,,,W,,,,,,,
Acacia spilleriana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia splendens,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia spooneri,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia sporadica,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia squamata,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia startii,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia steedmanii,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia stellaticeps,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia stenophylla,,,,,,,tree,,,,perennial > 20 years,,woody,,,,long dormancy,,,
Acacia stereophylla,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia stipuligera,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia strongylophylla,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia suaveolens,,,,,,,tree / shrub,,,,perennial <50 yrs,,woody,,,,,,,
