speciesname,flower color,flower sex,flowering lag time: number of days from exposition start to flowering,flowering requirement (requirement for fertility),fruit type,plant flowering,plant growth form,plant growth temperature range,plant height,plant human usage types,plant lifespan (longevity),plant lifespan: age trees reach in forested stands,plant woodiness,seed germination base temperature,seed germination base water potential,seed germination lag time,seed germination requirement,seed germination temperature,seed germination type,wood growth ring distinction
Acacia alata,,,,,,,Shrub,,,,,,woody,,,,,,,
Acacia alaticaulis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia alcockii,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia alexandri,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia alleniana,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia alpina,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia amanda,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia amblygona,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia amblyophylla,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia amentifera,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia ammobia,,,,,,,tree,,,,,,woody,,,,,,,
Acacia ammophila,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia amoena,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia ampliata,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia ampliceps,,,,,,,No,,,,,,W,,,,,,,
Acacia amputata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia amyctica,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia anarthros,,,,,,,shrub,,,,,,,,,,,,,
Acacia anasilla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia anastema,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia anaticeps,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia anceps,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia ancistrocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia ancistrophylla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia andrewsii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aneura,,,,,,,Tree,,,,perennial > 20 years,,woody,,,,long dormancy,,,
Acacia anfractuosa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia angusta,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia anomala,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia anthochaera,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia aphanoclada,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aphylla,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia applanata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aprepta,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aprica,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia arafurica,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia araneosa,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia arbiana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia arcuatilis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia argutifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia argyraea,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia argyrodendron,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia argyrophylla,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia argyrotricha,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia arida,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aristulata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia armillata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia armitii,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia arrecta,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia ascendens,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia asepala,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia ashbyae,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia asparagoides,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aspera,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia asperulacea,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia assimilis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia ataxiphylla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia atkinsiana,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia atopa,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia attenuata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aulacocarpa,,,,,,,tree,,,,,,W,,,,,,,
Acacia aulacophylla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia auratiflora,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia aureocrinita,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia auricoma,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia auriculiformis,,,,,,,Tree,,,,,,woody,,,,,,,
Acacia auripila,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia auronitens,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia ausfeldii,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia awestoniana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia axillaris,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia ayersiana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia baeuerlenii,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia baileyana,,,,,,,shrub,,,,30.0,,W,,,,,,,
Acacia bakeri,,,,,,,tree,,,,,,woody,,,,,,,
Acacia balsamea,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia bancroftiorum,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia barakulensis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia barattensis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia barbinervis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia barringtonensis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia basedowii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia baueri,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia baxteri,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia beadleana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia beauverdiana,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia beckleri,,,,,,,W,,,,,,woody,,,,,,,
Acacia benthamii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia betchei,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia bidentata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia bifaria,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia biflora,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia binata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia binervata,,,,,,,tree / shrub,,,,>50,,W,,,,,,,
Acacia binervia,,,,,,,Tree,,,,,,W,,,,,,,diffuse
Acacia bivenosa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia blakei,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia blakelyi,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia blaxellii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia blayana,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia boormanii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia botrydion,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia brachybotrya,,,,,,,shrub,,,,,,woody,,,,,,,
Acacia brachyclada,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia brachyphylla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia brachypoda,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia brachystachya,,,,,,,tree,,,,perennial > 20 years,,woody,,,,long dormancy,,,
Acacia bracteolata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia brassii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia brockii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia browniana,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia brownii,,,,,,,shrub,,,,,,woody,,,,,,,
Acacia brumalis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia brunioides,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia bulgaensis,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia burbidgeae,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia burkittii,,,,,,,tree / shrub,,,,perennial,,woody,,,,,,,
Acacia burrowii,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia buxifolia,,,,,,,Tree,,,,,,woody,,,,,,,
Acacia bynoeana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia caerulescens,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia caesariata,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia caesiella,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia calamifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia calantha,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia calcarata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia calcicola,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia calyculata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cambagei,,,,,,,tree,,,,perennial > 20 years,,woody,,,,all seed immediately viable,,,
Acacia camptoclada,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia campylophylla,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia cana,,,,,,,shrub,,,,,,woody,,,,,,,
Acacia cangaiensis,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia capillaris,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cardiophylla,,,,,,,Tree,,,,,,W,,,,,,,
Acacia carens,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia carneorum,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia carnosula,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia caroleae,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia cassicula,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia castanostegia,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cataractae,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia catenulata,,,,,,,tree,,,,,,woody,,,,,,,
Acacia cavealis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cedroides,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia celastrifolia,,,,,,,shrub/woody,,,,,,W,,,,,,,
Acacia celsa,,,,,,,tree,,,,,,woody,,,,,,,
Acacia cerastes,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia chalkeri,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia chamaeleon,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia chapmanii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia chartacea,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia cheelii,,,,,,,tree,,,,,,woody,,,,,,,
Acacia chinchillensis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia chippendalei,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia chisholmii,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia chrysella,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia chrysocephala,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia chrysochaeta,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia chrysopoda,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia chrysotricha,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia cincinnata,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia citrinoviridis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia citriodora,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia clandullensis,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia clelandii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia clunies-rossiae,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia clydonophora,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia cochlearis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cochlocarpa,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cognata,,,,,,,tree / shrub,,,,perennial,,W,,,,,,,
Acacia colei,,,,,,,tree,,,,perennial,,W,,,,,,,
Acacia colletioides,,,,,,,shrub,,,,perennial < 20 years,,woody,,,,long dormancy,,,
Acacia comans,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia complanata,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia concolorans,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia concurrens,,,,,,,tree,,,,,,W,,,,,,,
Acacia conferta,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia confluens,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia confusa,,,,,,,Tree,,,,perennial,,W,,,,,,,
Acacia congesta,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia conjunctifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia conniana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia consanguinea,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia consobrina,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia conspersa,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia constablei,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia continua,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia convallium,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia coolgardiensis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia coriacea,,,,,,,Tree,,,,,,woody,,,,,,,
Acacia costata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia costiniana,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia courtii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia covenyi,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia cowaniana,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia cowleana,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia cracentis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia craspedocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia crassa,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia crassicarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia crassistipula,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia crassiuscula,,,,,,,Tree,,,,,,woody,,,,,,,
Acacia crassuloides,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cremiflora,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia crenulata,,,,,,,shrub/tree/woody,,,,,,woody,,,,,,,
Acacia cretacea,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia cretata,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia crispula,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia crombiei,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cultriformis,,,,,,,shrub,,,,,,W,,,,,,,
Acacia cummingiana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cuneifolia,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia cupularis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia curranii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia curvata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cuspidifolia,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia cuthbertsonii,,,,,,,shrub,,,,,,woody,,,,,,,
Acacia cyclops,,,,,,,Shrub,,,,perennial <50 yrs,,W,,,,,,,diffuse-porous
Acacia cylindrica,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia cyperophylla,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia dacrydioides,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia dallachiana,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia dangarensis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia daviesioides,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia daweana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia dawsonii,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia dealbata,,,,,,,tree / shrub,,,,120.0,,woody,,,,,,,2
Acacia deanei,,,,,,,tree,,,,,,woody,,,,,,,
Acacia debilis,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia declinata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia decora,,,,,,,shrub,,,,,,woody,,,,,,,
Acacia decurrens,,,,,,,tree,,,,50.0,,W,,,,,,,
Acacia deficiens,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia deflexa,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia delibrata,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia delicatula,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia delphina,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia deltoidea,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia demissa,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia dempsteri,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia densiflora,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia denticulosa,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia dentifera,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia depressa,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia dermatophylla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia desertorum,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia desmondii,,,,,,,tree,,,,,,woody,,,,,,,
Acacia deuteroneura,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia diaphana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia diaphyllodinea,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia dictyoneura,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia dictyophleba,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia didyma,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia dielsii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia dietrichiana,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia difficilis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia difformis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia dilatata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia dimidiata,,,,,,,Tree,,,,,,W,,,,,,,
Acacia diminuta,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia disparrima,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia dissona,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia distans,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia disticha,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia divergens,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia dodonaeifolia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia dolichophylla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia donaldsonii,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia doratoxylon,,,,,,,T,,,,Perennial,,w,,,,,,,
Acacia dorothea,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia dorsenna,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia drepanocarpa,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia drepanophylla,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia drewiana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia drummondii,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia dunnii,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia dura,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia durabilis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia duriuscula,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia echinula,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia echinuliflora,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia effusa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia elachantha,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia elata,,,,,,,tree / shrub,,,,50.0,,woody,,,,,,,
Acacia elongata,,,,,,,Shrub,,,,,,woody,,,,,,,
Acacia empelioclada,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia enervia,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia ensifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia enterocarpa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia epacantha,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia epedunculata,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia ephedroides,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia eremaea,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia eremophila,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia eremophiloides,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia ericifolia,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia ericksoniae,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia erinacea,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia erioclada,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia eriopoda,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia errabunda,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia estrophiolata,,,,,,,tree,,,,,,woody,,,,,,,
Acacia euthycarpa,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia euthyphylla,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia evenulosa,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia everistii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia excelsa,,,,,,,tree,,,,perennial > 20 years,,woody,,,,long dormancy,,,
Acacia excentrica,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia exocarpoides,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia extensa,,,,,,,Tree,,,,,,woody,,,,,,,
Acacia fagonioides,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia falcata,,,,,,,shrub,,,,20.0,,W,,,,,,,
Acacia falciformis,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia farinosa,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia fasciculifera,,,,,,,Tree,,,,,,W,,,,,,,
Acacia fauntleroyi,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia ferocior,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia filamentosa,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia filicifolia,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia filifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia filipes,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia fimbriata,,,,,,,tree,,,,,,W,,,,,,,
Acacia flabellifolia,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia flagelliformis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia flavescens,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia fleckeri,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia flexifolia,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia flocktoniae,,,,,,,tree/woody,,,,,,woody,,,,,,,
Acacia floribunda,,,,,,,tree,,,,60.0,,woody,,,,,,,
Acacia floydii,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia formidabilis,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia forrestiana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia forsythii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia fragilis,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia frigescens,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia froggattii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia fulva,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia galeata,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia galioides,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia gardneri,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia gelasina,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia gemina,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia genistifolia,,,,,,,shrub,,,,,,woody,,,,,,,
Acacia georgensis,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia georginae,,,,,,,tree,,,,,,woody,,,,,,,
Acacia gibbosa,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia gilbertii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia gilesiana,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia gillii,,,,,,,shrub/tree/woody,,,,,,W,,,,,,,
Acacia gittinsii,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia gladiiformis,,,,,,,Tree,,,,,,woody,,,,,,,
Acacia glandulicarpa,,,,,,,Tree,,,,,,woody,,,,,,,
Acacia glaucissima,,,,,,,shrub/woody,,,,,,woody,,,,,,,
Acacia glaucocaesia,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia glaucocarpa,,,,,,,tree/woody,,,,,,W,,,,,,,
Acacia glaucoptera,,,,,,,Free-standing,,,,,,W,,,,,,,
Acacia gloeotricha,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia glutinosissima,,,,,,,Free-standing,,,,,,,,,,,,,
Acacia gnidium,,,,,,,Tree,,,,,,woody,,,,,,,
